"","1.25","1.75","2.25","2.75","3.25","3.75","4.25","4.75","5.25","5.75","6.25","6.75","7.25","7.75","8.25","8.75","9.25","9.75","10.25","10.75","11.25","11.75","12.25","12.75","13.25","13.75","14.25","14.75","15.25","15.75","16.25","16.75","17.25","17.75","18.25","18.75"
"RESECT(100th)",330433557528.12,467101484929.606,454015454569.152,401037463273.128,240382348075.852,64850100285.5964,70187844554.4717,77372006325.1388,116503984550.144,168003969079.806,169468382803.331,136189000776.201,99500843454.9527,57107905140.7587,30280190861.4656,15497258194.8303,11167201388.2943,3870347998.72149,1846951296.55385,2478323898.21733,18560598220.1657,45874614219.0458,52262035377.0872,131565892541.7,790302971053.404,749482660565.939,957811581711.374,1033041321149.32,601912559567.709,280239606023.915,108763002307.631,75530960006.4636,46751194306.6372,27694372334.133,19014756103.8012,200030929651.194
"OTHERc(10th)",-1362294050.51469,-1187006442.0431,-1267609020.46849,-1139596622.45084,-1091853323.11565,-810489110.263339,-740501517.052641,-194254686.371063,-67681618.0715199,121768060.674004,208942378.683823,-103244304.85351,-133192056.437603,4000285.76191265,-69244944.2027067,49900615.5488925,170294527.676806,-266971022.032727,-349212112.374236,-316524176.468077,154969408.601587,282240179.173539,692622787.908659,1153686108.21891,1167269677.15502,1636825237.09024,1859789292.23539,2409085751.66291,2388388980.65754,2321136068.42321,1489488636.79561,1271460804.28883,628163081.469127,9917894.79385016,-410124967.281479,5045687087.37901
"OTHERc(20th)",-724634393.92624,-901947427.16445,-759236983.181247,-762054356.836338,-487237698.988915,-240207082.010566,30820509.2724537,283011008.013433,532115369.68498,735844302.566796,713506160.009497,324583603.406437,356880834.23443,369549418.66969,609865138.240046,723344463.222823,643598789.991503,210968999.590897,-40080695.295048,238998853.273975,716995585.35285,1400822729.46932,1916226654.54133,1725488044.07461,2087648390.60291,2213710342.80882,2627786461.7409,3659443155.45389,4308594028.61222,4594359037.08576,2891902662.79558,2021018609.98379,1731160240.24729,1216185409.82459,1181611995.0578,8661523764.11024
"OTHERc(30th)",-603529298.97172,-585273611.564088,-373822830.260947,-247367760.663554,-77686719.5674383,66340675.3425314,432864828.826573,646990565.615275,882326894.050375,1153613871.67932,927209376.721701,591177509.781896,658224567.14266,675472351.859756,1227382019.79562,1160783297.59509,1067357956.43767,772255275.265319,743387516.432447,816396675.998391,1636764669.69361,2239908288.25072,2397863692.29721,2671576721.23041,2809428111.15208,2760519568.65946,3566554904.74852,4983501447.31223,5933902082.71587,5956824771.39629,4952972104.40302,4201172945.09686,2723638365.58695,2326633704.65503,1935309198.62539,10647752615.0987
"OTHERc(40th)",-432929523.495386,-327894558.343104,-224619723.030186,-66438612.7091298,77805288.2135996,248845999.773844,726959002.724129,1263497175.11565,1495345003.08673,1603313442.70639,1509845072.75687,885314368.375673,753320478.896838,800227202.391885,1608261212.71249,1621647776.12245,1807633916.67592,1044008577.78708,1180756225.01775,1508238648.55257,2125646803.13603,3024783787.28315,3147574765.3874,3837273109.02894,3772101284.07241,3546120424.35789,5237836527.20917,6342806694.09514,7704836507.14338,7974580119.18551,6617322898.37714,5610660113.81612,4532694626.8547,4672751720.02434,3335587228.45801,13354828733.4082
"OTHERc(50th)",-305807422.506928,-216760800.401158,-57950757.8577719,69963902.7998219,298074308.480677,390904894.380264,1261476649.94283,1656445728.64745,2157547347.20801,2170276134.93717,1938258627.14371,1148750999.71056,1059519474.98603,1414947998.02468,2083680710.64101,2082016917.30763,2879766150.36177,1796791030.71389,1840697667.18637,2254664871.39017,3127805644.93554,4189680980.2745,5241591982.37337,5078080110.87368,5852313863.41828,5665837450.6106,8105713310.85188,8734686242.81511,9147248399.82831,8915747909.65928,8744050167.51728,7907762900.07655,7695190896.26172,6129863559.79848,5582137150.85196,16244181293.2429
"OTHERc(60th)",-158990141.473554,-60156749.6584222,90198724.9595548,185479891.535949,500206038.386918,870544130.82491,1758974216.97478,2761870067.31379,3099589666.28335,2886015551.74197,2578119316.13485,1539198337.10681,1360935015.19037,1775982767.80636,2542592780.70135,2821396580.53077,4250022454.67573,2978520922.08126,2854404110.27627,3264155223.14558,3838294968.3676,6358009297.62223,6600919616.3829,7494422004.18266,8048605202.86395,8823720083.10866,10858538791.2817,11947163818.2839,12003194644.9758,13494891188.1926,10926224898.9043,11248482709.9562,11330427546.6374,8847475865.0788,7338773607.76352,19893314236.6428
"OTHERc(70th)",-9882380.63200544,71875672.4572193,292192988.550936,615310841.972706,799514622.602393,1695444384.59815,2711588262.61663,6594601325.75591,6028068130.65596,5757589041.08636,4281237329.72686,2073629899.61872,1839815405.58931,2200254168.07157,2909332044.5096,3811702399.02079,5459152524.68229,5109783904.27669,4315306493.12794,4175161466.49599,5329574491.42014,8669779411.12212,8212387542.61531,10407715926.5882,11375229242.7722,11383455422.448,14823345024.5902,15505260720.1986,15559578760.2362,14942834585.091,16613785231.8292,17363349295.2798,15064214691.7101,14322887222.2015,12162234358.1845,23575503225.233
"OTHERc(80th)",313322649.646529,685782364.574211,931647459.533879,1625432768.45802,2096308046.19198,2400612390.65231,5840092288.38575,9468382139.22854,10603516994.4246,12546215539.5776,10294538391.5418,5823277507.04124,3467395598.58009,3508858247.85839,4555138528.02895,6438885144.68463,8237688709.01162,7461723136.38547,5390527393.87986,6966820727.23809,9274854593.40415,11223005857.08,17603555622.0086,21036156817.3213,19605230239.1196,16724794805.6621,20274608474.2302,22886625597.9595,24243903835.825,23128939599.946,29147253096.7954,37723898870.5323,25690611420.0834,21526888966.9748,18705992325.3296,31766364897.9417
"OTHERc(90th)",1666438575.66016,1607171742.39331,2505936617.35204,5519880880.42208,7772624991.84278,10043708592.8544,14387827482.1467,24881767571.3495,29394426491.542,32346028544.0328,27476763431.7201,15044305207.2359,9437239936.24971,10376187314.2286,7820693812.66886,9961621220.36694,11930231374.8783,13937900404.4571,10257791656.0125,10343108695.8646,15374017604.9541,20186211228.7064,26331117783.1575,32811069342.5485,25120510671.1844,23679833337.1108,42401095532.1241,42805265044.5732,46270276867.845,50375863338.2312,50767629093.5963,57924483809.081,50804331740.0769,40176880736.4437,25630385324.9583,93426349619.5014
